cpu_time,cpu_usage,h:m:s,io_in,io_out,jobid,max_pss,max_rss,max_uss,max_vms,mean_load,rule_name,s,threads,genome,library,maxlength,nrows,operation,status
15.03,1196.2490384578707,0:00:12,110.21310234069824,0.0008182525634765,0,1239.564453125,1249.82421875,1235.41796875,4987.21875,95.45085127806664,binary_r,12.5326,1,hg38,genomicranges,10,1_000_000,nearest,ok
79.23,7618.979403781891,0:01:32,673.5302896499634,0.0008182525634765,0,2845.470703125,2864.16796875,2840.68359375,6634.2265625,82.63333640313472,binary_r,92.2022,1,hg38,genomicranges,10,10_000_000,nearest,ok
7.939999999999999,480.93963768482206,0:00:05,64.32715129852295,0.0008182525634765,0,752.8818359375,761.0859375,747.96484375,4499.8203125,84.10049457438636,binary_r,5.7186,1,hg38,genomicranges,100,10_000,nearest,ok
9.11,595.5575979232789,0:00:06,69.29497337341309,0.0008182525634765,0,830.380859375,839.58203125,825.5546875,4577.90234375,89.96849149114294,binary_r,6.6196,1,hg38,genomicranges,100,100_000,nearest,ok
15.72,1265.4450620412829,0:00:12,110.2109727859497,0.0008182525634765,0,1224.640625,1254.46484375,1205.8515625,4989.2109375,98.5826316611602,binary_r,12.8364,1,hg38,genomicranges,100,1_000_000,nearest,ok
79.24,7612.128872537613,0:01:22,519.3701868057251,0.0008182525634765,0,2960.197265625,2968.58203125,2955.40625,6706.41796875,92.63117379801896,binary_r,82.1768,1,hg38,genomicranges,100,10_000_000,nearest,ok
8.43,533.9923250436782,0:00:05,65.20323848724365,0.0008182525634765,0,820.564453125,830.1484375,815.94921875,4567.58203125,91.75690169602234,binary_r,5.8196,1,hg38,genomicranges,1000,10_000,nearest,ok
9.1,589.8201504468918,0:00:06,71.73246574401855,0.0008182525634765,0,855.7919921875,866.10546875,851.7109375,4603.41796875,91.85210278690896,binary_r,6.4214,1,hg38,genomicranges,1000,100_000,nearest,ok
14.49,1137.6380032300951,0:00:12,137.81968784332275,0.0008182525634765,0,1134.2431640625,1142.3125,1129.390625,4884.28125,93.75795550540566,binary_r,12.1338,1,hg38,genomicranges,1000,1_000_000,nearest,ok
79.32000000000001,7615.138161301613,0:01:23,519.3676900863647,0.0008182525634765,0,2900.896484375,2910.05078125,2896.125,6844.18359375,91.0192064898342,binary_r,83.6652,1,hg38,genomicranges,1000,10_000_000,nearest,ok
7.949999999999999,480.9134266138077,0:00:05,64.73696613311768,0.0008182525634765,0,787.96875,796.72265625,783.18359375,4535.05078125,85.59036576811576,binary_r,5.6188,1,proteome,genomicranges,10,10_000,nearest,ok
8.96,588.3004217147827,0:00:06,69.66357707977295,0.0008182525634765,0,832.2119140625,861.98046875,813.4140625,4596.37109375,87.52640854381701,binary_r,6.7214,1,proteome,genomicranges,10,100_000,nearest,ok
18.5,1541.8071680068972,0:00:15,113.9167423248291,0.0008182525634765,0,1183.0263671875,1191.79296875,1178.1484375,4929.4765625,99.88063812015815,binary_r,15.4365,1,proteome,genomicranges,10,1_000_000,nearest,ok
79.19999999999999,7602.3053092002865,0:01:25,556.3607406616211,0.0008182525634765,0,2210.697265625,2218.7734375,2206.5,6061.6015625,88.84132195015553,binary_r,85.5717,1,proteome,genomicranges,10,10_000_000,nearest,ok
7.960000000000001,488.040544295311,0:00:05,64.30762004852295,0.0008182525634765,0,752.2646484375,761.6796875,747.5078125,4499.8203125,83.87491324007154,binary_r,5.8187,1,proteome,genomicranges,100,10_000,nearest,ok
8.99,587.631145620346,0:00:06,69.70300102233887,0.0008182525634765,0,850.8583984375,859.46484375,846.32421875,4596.7265625,87.44194618725547,binary_r,6.7202,1,proteome,genomicranges,100,100_000,nearest,ok
16.82,1371.9291910171507,0:00:13,114.14914608001708,0.0008182525634765,0,1084.73828125,1114.45703125,1065.9375,4848.91796875,98.45065846830796,binary_r,13.9352,1,proteome,genomicranges,100,1_000_000,nearest,ok
230.12,22710.746744203567,0:04:12,560.9092769622803,0.0008182525634765,0,11604.5224609375,11613.30859375,11599.8984375,15351.73046875,89.82221678116471,binary_r,252.8411,1,proteome,genomicranges,100,10_000_000,nearest,ok
7.859999999999999,478.6692187309265,0:00:05,64.29199504852295,0.0008182525634765,0,738.515625,768.6484375,719.7734375,4503.8359375,83.70307877744432,binary_r,5.7187,1,proteome,genomicranges,1000,10_000,nearest,ok
9.53,648.4666845083236,0:00:06,69.75992012023926,0.0017623901367187,0,851.462890625,860.296875,846.5625,4597.2578125,95.07653473124144,binary_r,6.8205,1,proteome,genomicranges,1000,100_000,nearest,ok
18.93,1584.2683431625364,0:00:21,127.35306453704834,0.0008182525634765,0,1383.3271484375,1391.5625,1379.1953125,5128.640625,73.52516924202887,binary_r,21.5473,1,proteome,genomicranges,1000,1_000_000,nearest,ok
